Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
"How do you access the first element with the class name ‘example’ using the DOM API? (Làm thế nào để bạn truy cập phần tử đầu tiên có tên lớp ‘example’ bằng cách sử dụng DOM API?)",Checkbox,"document.getElementById(‘example’)","document.querySelector(‘#example’)","document.querySelector(‘.example’)","document.getElementsByClassName(‘example’)[0]",,"3,4",60,,
"var my_array = [2, 4, 6, 8, 10] What is the value of my_array[4] ?",Multiple Choice,"10","6","8","4","2",1,60,,
"Which keyword is used to define a function in JavaScript?",Multiple Choice,"Function",,,,,1,60,,
"Which of the following are common JavaScript data types? (Những kiểu dữ liệu nào sau đây là các kiểu dữ liệu thường gặp trong JavaScript?)",Checkbox,"Function","String","Character","Number",,"1,2,4",60,,
"Which of the following statements about JavaScript variables and data types are correct? (Những phát biểu nào sau đây về biến và kiểu dữ liệu trong JavaScript là đúng?)",Checkbox,"JavaScript has dynamic typing. (JavaScript có kiểu dữ liệu động.)","Primitive data types in JavaScript include string, number, and boolean. (Các kiểu dữ liệu nguyên thủy trong JavaScript bao gồm chuỗi, số và boolean.)","JavaScript variables must be declared with a type. (Biến trong JavaScript phải được khai báo với một kiểu dữ liệu.)","Objects in JavaScript are a type of primitive data type. (Đối tượng trong JavaScript là một loại kiểu dữ liệu nguyên thủy.)",,"1,2",60,,
"What is full-stack development? (Phát triển full-stack là gì?)",Multiple Choice,"Development that focuses solely on the client-side of an application. (Phát triển chỉ tập trung vào phía client của một ứng dụng.)","Development that focuses only on the server-side of an application. (Phát triển chỉ tập trung vào phía server của một ứng dụng.)","Development that covers both the front-end and back-end of an application. (Phát triển bao gồm cả front-end và back-end của một ứng dụng.)","Development that integrates cloud services only. (Phát triển chỉ tích hợp các dịch vụ đám mây.)",,3,60,,
"Identify the roles and responsibilities of front-end developers. (Xác định các vai trò và trách nhiệm của các nhà phát triển front-end.)",Checkbox,"Creating interactive user experiences (Tạo ra các trải nghiệm người dùng tương tác)","Designing user interfaces (Thiết kế giao diện người dùng)","Implementing server-side logic (Triển khai logic phía máy chủ)","Ensuring cross-browser compatibility (Đảm bảo tính tương thích giữa các trình duyệt)",,"1,2,4",60,,
"Which of the following elements in HTML5 defines video or movie content? (Thẻ nào sau đây trong HTML5 định nghĩa nội dung video hoặc phim?)",Multiple Choice,"<video>","<audio>","<media>","<movie>",,1,60,,
"What distinguishes block-level elements from inline elements in HTML? (Điểm khác biệt giữa các phần tử block-level và các phần tử inline trong HTML là gì?)",Checkbox,"Block-level elements cannot have any padding or margin, while inline elements can. (Các phần tử Block-level không thể có bất kỳ phần đệm hoặc lề nào, trong khi các phần tử inline có thể.)","Block-level elements are always displayed on a new line, whereas inline elements can appear on the same line. (Các phần tử Block-level luôn được hiển thị trên một dòng mới, trong khi các phần tử inline có thể xuất hiện trên cùng một dòng.)","Block-level elements take up the full width available, while inline elements only take up as much width as needed. (Các phần tử block-level chiếm toàn bộ chiều rộng có sẵn, trong khi các phần tử inline chỉ chiếm một lượng chiều rộng cần thiết.)","Block-level elements are restricted to certain tags like <div>, while inline elements are restricted to tags like <span>. (Các phần tử Block-level bị giới hạn ở một số thẻ nhất định như <div>, trong khi các phần tử inline bị giới hạn ở các thẻ như <span>.)",,"2,3",60,,
"What is the style of a web page defined using? (Định dạng của trang web được định nghĩa bằng gì?)",Multiple Choice,"JavaScript","HTML","CSS",,,3,60,,
"Cách viết selector nào sau đây có thể được sử dụng để chọn phần từ <h1>? Chọn nhiều. <h1 class=”title”>Welcome</h1>",Checkbox,"Descendant Selector","Class Selector","ID Selector","Element Selector",,"2,4",60,,
"Trong đoạn mã CSS dưới đây, { color: purple; } được biết đến là gì? h1 { color: purple; }",Multiple Choice,"CSS Selector","CSS Rule","CSS Attribute","CSS Property",,2,60,,
"Thuộc tính nào sau đây cho phép thay màu của chữ (text)?",Multiple Choice,"color","bgcolor","text-color","font-color",,1,60,,
"Trong CSS, thuộc tính nào giúp tạo hiệu ứng chuyển động?",Checkbox,"transform","animation","hover","transition",,"2,4",60,,
"What is the primary advantage of using CSS in web development? (Lợi ích chính của việc sử dụng CSS trong phát triển web là gì?)",Multiple Choice,"It allows for the inclusion of multimedia elements. (Nó cho phép đưa vào các phần tử đa phương tiện.)","It provides a uniform look and feel across different web pages. (Nó cung cấp một giao diện và cảm giác đồng nhất trên các trang web khác nhau.)","It makes the content of the webpage more searchable by search engines. (Nó giúp nội dung của trang web dễ tìm kiếm hơn bởi các công cụ tìm kiếm.)","It ensures the security of the web application. (Nó đảm bảo tính bảo mật của ứng dụng web.)",,2,60,,
"In the following CSS rule, what part of the rule is represented by div ? (Trong đoạn mã CSS dưới đây, phần div được biết đến là gì?) div { width: 50%; }",Multiple Choice,"CSS Rule","CSS Property","CSS Attribute","CSS Selector",,4,60,,
"What is one of the primary benefits of using a CSS framework like Bootstrap? (Một trong những lợi ích chính của việc sử dụng một framework CSS như Bootstrap là gì?)",Multiple Choice,"It helps in creating a responsive design easily. (Nó giúp tạo ra một thiết kế responsive một cách dễ dàng.)","It reduces the loading time of the website. (Nó giảm thời gian tải trang web.)","It eliminates the need for HTML. (Nó loại bỏ nhu cầu sử dụng HTML.)","It provides built-in SEO features. (Nó cung cấp các tính năng SEO tích hợp sẵn.)",,1,60,,
"Trong CSS, thuộc tính position: relative; có nghĩa là gì?",Multiple Choice,"Phần tử di chuyển theo trang khi cuộn","Phần tử được cố định so với cửa sổ trình duyệt","Phần tử sẽ bị xóa khỏi luồng bình thường của tài liệu","Phần tử được định vị tương đối so với vị trí ban đầu của nó",,4,60,,
"What is the Document Object Model (DOM) tree? (Cây Document Object Model (DOM) là gì?)",Multiple Choice,"A method for styling HTML elements using CSS.","A protocol for transferring web pages from the server to the browser.","A model used to design the layout of a webpage.","A representation of a web document’s structure as a tree of objects.",,4,60,,
"Which of the following are valid ways to declare a variable in JavaScript? (Những cách nào sau đây là hợp lệ để khai báo một biến trong JavaScript?)",Checkbox,"const","let","variable","var",,"1,2,4",60,,
"<body> <p> This is paragraph one </p> <p onclick = ""Hello()""> This is paragraph two </p> </body> The function Hello() will be called every time:",Multiple Choice,"The user places his/her mouse over any paragraph on the page","The user clicks on any paragraph on the page","The function is never called.","The user clicks on the second paragraph on the page",,4,60,,
"What is the structure of a web page defined using? (Cấu trúc của trang web được định nghĩa bằng gì?)",Multiple Choice,"JavaScript","CSS","HTML",,,3,60,,
"How to create a checkbox in HTML Form? (Làm thế nào để tạo một hộp kiểm trong HTML Form?)",Multiple Choice,"<input type=”text”>","<input type=”textarea”>","<input type=”button”>","<input type=”checkbox”>",,4,60,,
"When an HTML form is submitted to a web server, which HTTP methods can be used? Select all that apply. (Phương thức HTTP nào được sử dụng khi gửi một HTML form đến máy chủ web? Chọn nhiều)",Checkbox,"DELETE","PUT","POST","GET",,"3,4",60,,
"Trong CSS, giá trị nào của thuộc tính overflow sẽ hiển thị thanh cuộn nếu nội dung vượt quá kích thước phần tử?",Multiple Choice,"visible","auto","hidden","scroll",,4,60,,
"Which of the following types of HTML tags is used to define an internal style sheet? (Loại thẻ HTML nào sau đây được sử dụng để xác định một bảng kiểu nội bộ?)",Multiple Choice,"<class>","<style>","<script>","<link>",,2,60,,
"Trong CSS, làm thế nào để chọn tất cả các phần tử <p> bên trong một <div> ?",Multiple Choice,"div-p {}","div.p {}","div p {}","p div {}",,3,60,,
"Which of the following CSS properties is used to control the stack order of elements? (Thuộc tính CSS nào sau đây được sử dụng để kiểm soát thứ tự xếp chồng của các phần tử?)",Multiple Choice,"display","position","z-index","float",,3,60,,
"Trong CSS, thuộc tính nào sau đây giúp xoay phần tử?",Multiple Choice,"rotate","transform","transition","animation",,2,60,,
"Which type of CSS positioning would you use to keep a navigation menu fixed at the top of the webpage while scrolling? (Loại vị trí CSS nào bạn sẽ sử dụng để giữ menu điều hướng cố định ở đầu trang web khi cuộn?)",Multiple Choice,"Relative","Static","Absolute","Fixed",,4,60,,
"Giá trị nào của thuộc tính align-items trong flexbox sẽ làm giãn các phần tử con để lấp đầy không gian theo chiều dọc?",Multiple Choice,"flex-start","stretch","flex-end","center",,2,60,,
"How do you properly access the first element in an array variable named ""fruit""?",Multiple Choice,"fruit_0","fruit[1]","[fruit]0","fruit[0]",,4,60,,
"Which of the following are valid ways to declare a function in JavaScript? (Những cách nào sau đây là hợp lệ để khai báo một hàm trong JavaScript?)",Checkbox,"var myFunction = function() { }","function myFunction() { }","let myFunction = () => { }","def myFunction() { }",,"1,2,3",60,,
"Which of the following skills is essential for a successful career in web application development? (Kỹ năng nào sau đây là cần thiết cho một sự nghiệp thành công trong phát triển ứng dụng web?)",Multiple Choice,"Avoiding continuous learning (Tránh việc học tập liên tục)","Focusing solely on front-end development (Chỉ tập trung vào phát triển front-end)","Understanding customer requirements (Hiểu yêu cầu của khách hàng)","Ignoring security and networking concerns (Bỏ qua các vấn đề về bảo mật và mạng)",,3,60,,
"Which of the following is used to read an HTML page and render it? (Cái nào sau đây được sử dụng để đọc một trang HTML và hiển thị nó?)",Multiple Choice,"Web browser","Web network","Web server","Web matrix",,1,60,,
"Trong CSS, giá trị nào của thuộc tính overflow sẽ luôn hiển thị thanh cuộn dù nội dung có vượt quá hay không?",Multiple Choice,"auto","visible","hidden","scroll",,4,60,,
"Thuộc tính CSS nào sau đây được sử dụng để thay đổi khoảng cách bên trái của một phần tử với phần tử nằm phía trong nó?",Multiple Choice,"inside-left","margin-left","indent","padding-left",,4,60,,
"Khai báo nào sau đây cho phép làm chữ trong tag <p> trở thành chữ đậm?",Multiple Choice,"<p style=”text-size:bold;”>","{text-size:bold;}","p {font-weight:bold;}","<p style=”font-size:bold;”>",,3,60,,
"Khai báo nào sau đây cho phép hiển thị liên kết mà không có gạch chân bên dưới?",Multiple Choice,"a {underline:none;}","a {text-decoration:no underline;}","a {decoration:no underline;}","a {text-decoration:none;}",,4,60,,
"Trong CSS, thuộc tính position: fixed; có nghĩa là gì?",Multiple Choice,"Phần tử bị ẩn khỏi trang web","Phần tử được định vị tuyệt đối so với phần tử cha gần nhất có thuộc tính position","Phần tử được định vị tương đối so với vị trí ban đầu của nó","Phần tử được cố định trên màn hình, không di chuyển khi cuộn trang",,4,60,,
"What is one of the primary benefits of using a CSS framework like Bootstrap? (Một trong những lợi ích chính của việc sử dụng một framework CSS như Bootstrap là gì?)",Multiple Choice,"It provides built-in SEO features. (Nó cung cấp các tính năng SEO tích hợp sẵn.)","It helps in creating a responsive design easily. (Nó giúp tạo ra một thiết kế responsive một cách dễ dàng.)","It reduces the loading time of the website. (Nó giảm thời gian tải trang web.)","It eliminates the need for HTML. (Nó loại bỏ nhu cầu sử dụng HTML.)",,2,60,,
"Giá trị nào sau đây là đúng cho thuộc tính border-style để tạo đường viền liền nét cho phần tử trên trang web?",Multiple Choice,"bold","solid","rock",,,2,60,,
"function can be called multiple times in a single file.",Multiple Choice,"Đúng","Sai",,,,1,60,,
"What is syntactically wrong with this function definition? function Hello();{ alert(""Hello""); document.write(""Hello on the screen""); }",Multiple Choice,"The semicolon after Hello()","The fact that you are outputting the message twice","You can't use document.write after using an alert.",,,1,60,,
"Which of the following best describes HTML5? (Câu nào sau đây mô tả chính xác nhất về HTML5?)",Multiple Choice,"A scripting language used for creating dynamic web pages. (Một ngôn ngữ kịch bản được sử dụng để tạo các trang web động.)","Markup language used for structuring and presenting content on the web. (Ngôn ngữ đánh dấu được sử dụng để cấu trúc và trình bày nội dung trên web.)","A protocol for transferring hypertext requests and information. (Một giao thức để truyền các yêu cầu và thông tin siêu văn bản.)","A database management system for storing web data. (Một hệ thống quản lý cơ sở dữ liệu để lưu trữ dữ liệu web.)",,2,60,,
"What distinguishes block-level elements from inline elements in HTML? (Điều gì phân biệt các phần tử khối (block-level elements) với các phần tử nội dòng (inline elements) trong HTML?)",Checkbox,"Block-level elements take up the full width available, while inline elements only take up as much width as needed. (Các phần tử block chiếm toàn bộ chiều rộng có sẵn, trong khi các phần tử inline chỉ chiếm chiều rộng cần thiết.)","Block-level elements are restricted to certain tags like <div>, while inline elements are restricted to tags like <span>. (Các phần tử block bị giới hạn ở một số thẻ nhất định như <div>, trong khi các phần tử inline bị giới hạn ở các thẻ như <span>.)","Block-level elements cannot have any padding or margin, while inline elements can. (Các phần tử block không thể có bất kỳ khoảng đệm (padding) hoặc khoảng cách (margin) nào, trong khi các phần tử inline có thể có.)","Block-level elements are always displayed on a new line, whereas inline elements can appear on the same line. (Các phần tử Block luôn được hiển thị trên một dòng mới, trong khi các phần tử Inline có thể xuất hiện trên cùng một dòng.)",,"1,4",60,,
"When using the anchor tag <a>, which attribute determines where the hyperlink links to? (Khi sử dụng thẻ <a>, thuộc tính nào quyết định đích đến của liên kết?)",Multiple Choice,"Link","Alt","Src","Href",,4,60,,
"Muốn liên kết HTML với một file định nghĩa CSS ta dùng dạng nào sau đây?",Multiple Choice,"<link rel=”stylesheet” type=”text/css” href=”mystyle.css”>","<style src=”mystyle.css”>","Tất cả các phương án đều sai","<stylesheet>mystyle.css</stylesheet>",,1,60,,
"Giá trị nào của thuộc tính align-items trong flexbox sẽ căn chỉnh các phần tử con về phía trên cùng?",Multiple Choice,"center","stretch","flex-start","flex-end",,3,60,,
"Khai báo nào sau đây cho phép thêm màu nền cho tất cả các phần tử <h1>?",Multiple Choice,"all.h1 {background-color:#FFFFFF;}","h1.all {background-color:#FFFFFF;}","h1 {background-color:#FFFFFF;}","Không đáp án nào đúng",,3,60,,
"Thuộc tính nào sau đây cho phép thay đổi kích cỡ chữ?",Multiple Choice,"font-style","text-style","text-size","font-size",,4,60,,
"Chọn phương án đúng về đơn vị đo lường trong CSS:",Multiple Choice,"vh và vw là đơn vị tĩnh","em luôn bằng 16px","px là đơn vị tỷ lệ phần trăm (%) của kích thước mặc định","rem là đơn vị tương đối so với font-size của thẻ <html>",,4,60,,
"Trong đoạn mã CSS dưới đây, phần purple được biết đến là gì? h1 { color: purple; }",Multiple Choice,"CSS Value","CSS Rule","CSS Property","CSS Selector",,1,60,,
"<body onload = ""Hello()""> <p> This is paragraph one </p> <p onclick = ""Hello()""> This is paragraph two </p> </body> The function Hello() will be called every time:",Multiple Choice,"The user clicks on any paragraph on the page","The page is loaded","The function is never called.",,,2,60,,
"Which of the following is a correct way to modify the text content of an HTML element in JavaScript? (Cách nào sau đây là đúng để sửa đổi nội dung văn bản của một phần tử HTML trong JavaScript?)",Checkbox,"document.getElementById(‘elementId’).innerHTML = ‘New Text’;","document.getElementById(‘elementId’).textContent = ‘New Text’;","document.getElementByClassName(‘elementClass’).innerHTML = ‘New Text’;","document.querySelector(‘#elementId’).innerText = ‘New Text’;",,"1,2,4",60,,
"Which of the following image elements is correct? (Phần tử hình ảnh nào sau đây là đúng cú pháp để hiển thị một hình ảnh trên trang web?)",Multiple Choice,"<image src=”dog.png”>","<img src=”mouse.png”>","<img href=”cat.png”>",,,2,60,,
